"ft_dem","ft_rep","race","income","sex","white","black","hispanic","other","vote_obama"
50,50,1,19,0,1,0,0,0,1
85,30,1,28,1,1,0,0,0,1
60,40,1,2,1,1,0,0,0,1
60,60,1,19,1,1,0,0,0,0
70,50,1,21,0,1,0,0,0,1
70,15,3,23,1,0,0,1,0,1
60,40,1,28,1,1,0,0,0,0
100,70,4,28,1,0,0,0,1,1
30,60,1,23,0,1,0,0,0,0
70,40,3,21,1,0,0,1,0,1
85,15,3,27,1,0,0,1,0,1
75,40,1,19,0,1,0,0,0,1
60,40,1,12,1,1,0,0,0,1
85,50,2,11,1,0,1,0,0,1
100,15,2,3,1,0,1,0,0,1
50,70,1,18,0,1,0,0,0,0
85,30,3,6,1,0,0,1,0,1
100,15,3,9,1,0,0,1,0,1
70,50,3,28,1,0,0,1,0,1
60,70,3,9,1,0,0,1,0,1
50,40,1,23,0,1,0,0,0,1
85,15,3,23,0,0,0,1,0,1
60,30,1,3,0,1,0,0,0,1
30,60,1,23,1,1,0,0,0,0
80,15,2,1,0,0,1,0,0,1
50,30,3,23,0,0,0,1,0,1
85,15,3,17,1,0,0,1,0,1
70,85,3,9,0,0,0,1,0,1
60,40,1,12,0,1,0,0,0,1
100,0,1,20,1,1,0,0,0,1
85,15,3,15,1,0,0,1,0,1
85,15,3,1,0,0,0,1,0,1
70,70,3,14,0,0,0,1,0,1
70,50,3,12,0,0,0,1,0,1
40,60,3,7,1,0,0,1,0,1
100,70,3,13,0,0,0,1,0,1
85,40,3,20,1,0,0,1,0,1
85,0,3,1,1,0,0,1,0,1
40,40,1,21,0,1,0,0,0,1
70,30,1,15,1,1,0,0,0,1
60,50,3,18,1,0,0,1,0,1
100,0,3,5,1,0,0,1,0,1
60,60,3,11,0,0,0,1,0,1
70,15,3,17,1,0,0,1,0,1
60,30,3,12,0,0,0,1,0,1
50,60,3,18,1,0,0,1,0,1
100,70,3,2,1,0,0,1,0,1
85,0,1,23,1,1,0,0,0,0
60,15,3,2,1,0,0,1,0,1
70,15,3,19,1,0,0,1,0,1
0,30,1,12,1,1,0,0,0,0
30,60,3,24,0,0,0,1,0,0
100,0,2,7,1,0,1,0,0,1
75,25,3,15,1,0,0,1,0,1
100,-2,2,9,1,0,1,0,0,1
40,40,1,11,1,1,0,0,0,0
100,0,2,16,0,0,1,0,0,1
100,0,2,12,1,0,1,0,0,1
100,30,2,13,1,0,1,0,0,1
15,70,1,13,0,1,0,0,0,0
15,50,1,5,1,1,0,0,0,0
70,15,3,13,1,0,0,1,0,1
100,0,2,13,1,0,1,0,0,1
70,30,3,20,1,0,0,1,0,1
60,15,1,6,1,1,0,0,0,1
70,15,3,6,0,0,0,1,0,1
85,50,3,23,1,0,0,1,0,1
100,0,3,2,1,0,0,1,0,1
75,60,3,15,1,0,0,1,0,1
100,50,2,16,1,0,1,0,0,1
50,85,3,3,1,0,0,1,0,0
15,100,3,1,1,0,0,1,0,0
100,0,3,1,0,0,0,1,0,1
85,0,3,14,1,0,0,1,0,1
85,30,2,7,1,0,1,0,0,1
100,0,2,5,1,0,1,0,0,1
